actor_1_name,actor_2_name,actor_3_name,director_name,genres,movie_title,comb
Steve Buscemi,Jennifer Jason Leigh,Miranda Richardson,Robert Altman,Crime|Drama|Music|Thriller,kansas ci,Steve Buscemi Jennifer Jason Leigh Miranda Richardson Robert Altman Crime|Drama|Music|Thriller
Logan Lerman,Sarah Gadon,Tracy Letts,James Schamus,Drama,indignati,Logan Lerman Sarah Gadon Tracy Letts James Schamus Drama
Jimmy Bennett,Chloë Grace Moretz,Ryan Reynolds,Andrew Douglas,Drama|Horror|Mystery|Thriller,the amityville horr,Jimmy Bennett Chloë Grace Moretz Ryan Reynolds Andrew Douglas Drama|Horror|Mystery|Thriller
Nicolas Cage,Meryl Streep,Roger Willie,Spike Jonze,Comedy|Drama,adaptatio,Nicolas Cage Meryl Streep Roger Willie Spike Jonze Comedy|Drama
Tony Nappo,Shawn Roberts,Pedro Miguel Arce,George A. Romero,Horror,land of the de,Tony Nappo Shawn Roberts Pedro Miguel Arce George A. Romero Horror
Louis Koo,Angelica Lee,Ching Wan Lau,Danny Pang,Action,out of infer,Louis Koo Angelica Lee Ching Wan Lau Danny Pang Action
Johnny Depp,Michael Jeter,Ellen Barkin,Terry Gilliam,Adventure|Comedy|Drama,fear and loathing in las veg,Johnny Depp Michael Jeter Ellen Barkin Terry Gilliam Adventure|Comedy|Drama
Jennifer Garner,Tina Fey,Martin Starr,Ricky Gervais,Comedy|Fantasy|Romance,the invention of lyi,Jennifer Garner Tina Fey Martin Starr Ricky Gervais Comedy|Fantasy|Romance
Craig Roberts,Carla Gallo,Ike Barinholtz,Nicholas Stoller,Comedy,neighbo,Craig Roberts Carla Gallo Ike Barinholtz Nicholas Stoller Comedy
Peter Greene,Amy Yasbeck,Reg E. Cathey,Chuck Russell,Action|Comedy|Crime|Fantasy,the ma,Peter Greene Amy Yasbeck Reg E. Cathey Chuck Russell Action|Comedy|Crime|Fantasy
Tom Hanks,Jon Lovitz,John Heard,Penny Marshall,Comedy|Drama|Family|Fantasy|Romance,b,Tom Hanks Jon Lovitz John Heard Penny Marshall Comedy|Drama|Family|Fantasy|Romance
Luenell,Ken Davitian,Chester,Larry Charles,Comedy,borat: cultural learnings of america for make benefit glorious nation of kazakhst,Luenell Ken Davitian Chester Larry Charles Comedy
Linda Cardellini,Raquel Welch,Alanna Ubach,Robert Luketic,Comedy|Romance,legally blon,Linda Cardellini Raquel Welch Alanna Ubach Robert Luketic Comedy|Romance
Leonard Nimoy,Nichelle Nichols,Walter Koenig,Leonard Nimoy,Action|Adventure|Sci-Fi,star trek iii: the search for spo,Leonard Nimoy Nichelle Nichols Walter Koenig Leonard Nimoy Action|Adventure|Sci-Fi
Tom Wilkinson,Colm Feore,JR Bourne,Scott Derrickson,Drama|Horror|Thriller,the exorcism of emily ro,Tom Wilkinson Colm Feore JR Bourne Scott Derrickson Drama|Horror|Thriller
Amy Poehler,Eddie Griffin,Bree Turner,Mike Mitchell,Comedy|Romance,deuce bigalow: male gigo,Amy Poehler Eddie Griffin Bree Turner Mike Mitchell Comedy|Romance
Nicolas Cage,Lea Thompson,Quinton Aaron,Vic Armstrong,Action|Drama|Fantasy|Mystery|Thriller,left behi,Nicolas Cage Lea Thompson Quinton Aaron Vic Armstrong Action|Drama|Fantasy|Mystery|Thriller
Craig T. Nelson,Paul Schneider,Tyrone Giordano,Thomas Bezucha,Comedy|Drama|Romance,the family sto,Craig T. Nelson Paul Schneider Tyrone Giordano Thomas Bezucha Comedy|Drama|Romance
Harry Lennix,Sean Patrick Thomas,Kenan Thompson,Kevin Rodney Sullivan,Comedy|Drama,barbershop 2: back in busine,Harry Lennix Sean Patrick Thomas Kenan Thompson Kevin Rodney Sullivan Comedy|Drama
Bernie Mac,Tony Cox,Alex Borstein,Terry Zwigoff,Comedy|Crime|Drama,bad san,Bernie Mac Tony Cox Alex Borstein Terry Zwigoff Comedy|Crime|Drama
Will Ferrell,Charles Napier,Robert Wagner,Jay Roach,Comedy|Crime,austin powers: international man of myste,Will Ferrell Charles Napier Robert Wagner Jay Roach Comedy|Crime
Nia Vardalos,Louis Mandylor,Joey Fatone,Kirk Jones,Comedy|Family|Romance,my big fat greek wedding,Nia Vardalos Louis Mandylor Joey Fatone Kirk Jones Comedy|Family|Romance
Zachary Gordon,Rachael Harris,Fran Kranz,David Bowers,Comedy|Family,diary of a wimpy kid: rodrick rul,Zachary Gordon Rachael Harris Fran Kranz David Bowers Comedy|Family
Shane Black,Bill Duke,Carl Weathers,John McTiernan,Action|Horror|Sci-Fi,predat,Shane Black Bill Duke Carl Weathers John McTiernan Action|Horror|Sci-Fi
Jeffrey Jones,F. Murray Abraham,Tom Hulce,Milos Forman,Biography|Drama|History|Music,amade,Jeffrey Jones F. Murray Abraham Tom Hulce Milos Forman Biography|Drama|History|Music
Ming-Na Wen,Scott Porter,Collins Pennie,Nelson McCormick,Horror|Mystery,prom nig,Ming-Na Wen Scott Porter Collins Pennie Nelson McCormick Horror|Mystery
Tina Fey,Amy Poehler,Neil Flynn,Mark Waters,Comedy,mean gir,Tina Fey Amy Poehler Neil Flynn Mark Waters Comedy
Raoul Bova,Lindsay Duncan,Mario Monicelli,Audrey Wells,Comedy|Drama|Romance,under the tuscan s,Raoul Bova Lindsay Duncan Mario Monicelli Audrey Wells Comedy|Drama|Romance
Kristin Scott Thomas,Bob Balaban,Tom Hollander,Robert Altman,Drama|Mystery,gosford pa,Kristin Scott Thomas Bob Balaban Tom Hollander Robert Altman Drama|Mystery
Peter Gallagher,Melinda Clarke,Tate Donovan,uknown,Comedy|Drama|Romance,the o.c.          ,Peter Gallagher Melinda Clarke Tate Donovan uknown Comedy|Drama|Romance
Nicolas Cage,Kathleen Turner,Joan Allen,Francis Ford Coppola,Comedy|Drama|Fantasy|Romance,peggy sue got marri,Nicolas Cage Kathleen Turner Joan Allen Francis Ford Coppola Comedy|Drama|Fantasy|Romance
Emma Stone,Naomi Watts,Merritt Wever,Alejandro G. Iñárritu,Comedy|Drama|Romance,birdman or (the unexpected virtue of ignoranc,Emma Stone Naomi Watts Merritt Wever Alejandro G. Iñárritu Comedy|Drama|Romance
Sally Hawkins,Charlie Tahan,Andrew Dice Clay,Woody Allen,Drama,blue jasmi,Sally Hawkins Charlie Tahan Andrew Dice Clay Woody Allen Drama
Christian Clemenson,David Alan Basche,Susan Blommaert,Paul Greengrass,Drama|History|Thriller,united ,Christian Clemenson David Alan Basche Susan Blommaert Paul Greengrass Drama|History|Thriller
Christian Monzon,Mekhi Phifer,Romeo Miller,Bille Woodruff,Drama|Music|Romance,hon,Christian Monzon Mekhi Phifer Romeo Miller Bille Woodruff Drama|Music|Romance
Denzel Washington,Morgan Freeman,Matthew Broderick,Edward Zwick,Drama|History|War,glo,Denzel Washington Morgan Freeman Matthew Broderick Edward Zwick Drama|History|War
Hulk Hogan,Barry Bostwick,Nicollette Sheridan,Rick Friedberg,Action|Comedy,spy ha,Hulk Hogan Barry Bostwick Nicollette Sheridan Rick Friedberg Action|Comedy
Jamie Lee Curtis,Hal Holbrook,Janet Leigh,John Carpenter,Fantasy|Horror,the f,Jamie Lee Curtis Hal Holbrook Janet Leigh John Carpenter Fantasy|Horror
Dennis Quaid,Chris Brochu,Craig T. Nelson,Sean McNamara,Biography|Drama|Family|Sport,soul surf,Dennis Quaid Chris Brochu Craig T. Nelson Sean McNamara Biography|Drama|Family|Sport
Bob Newhart,Bob Balaban,Martin Balsam,Mike Nichols,Comedy|Drama|War,catch-,Bob Newhart Bob Balaban Martin Balsam Mike Nichols Comedy|Drama|War
Collette Wolfe,Celia Weston,Dan Bakkedahl,Jody Hill,Comedy|Crime|Drama,observe and repo,Collette Wolfe Celia Weston Dan Bakkedahl Jody Hill Comedy|Crime|Drama
Mako,Olivia d'Abo,Grace Jones,Richard Fleischer,Action|Adventure|Fantasy,conan the destroy,Mako Olivia d'Abo Grace Jones Richard Fleischer Action|Adventure|Fantasy
Robert De Niro,Cathy Moriarty,Frank Vincent,Martin Scorsese,Biography|Drama|Sport,raging bu,Robert De Niro Cathy Moriarty Frank Vincent Martin Scorsese Biography|Drama|Sport
Judy Greer,Sasha Alexander,Frances Conroy,Brandon Camp,Drama|Romance,love happe,Judy Greer Sasha Alexander Frances Conroy Brandon Camp Drama|Romance
Nicholas Rowe,Roger Ashton-Griffiths,Freddie Jones,Barry Levinson,Adventure|Fantasy|Mystery|Thriller,young sherlock holm,Nicholas Rowe Roger Ashton-Griffiths Freddie Jones Barry Levinson Adventure|Fantasy|Mystery|Thriller
Kelsey Grammer,Kay Panabaker,Megan Mullally,Kevin Tancharoen,Comedy|Drama|Musical|Romance,fa,Kelsey Grammer Kay Panabaker Megan Mullally Kevin Tancharoen Comedy|Drama|Musical|Romance
James Franco,Treat Williams,Kate Burton,Danny Boyle,Adventure|Biography|Drama|Thriller,127 hou,James Franco Treat Williams Kate Burton Danny Boyle Adventure|Biography|Drama|Thriller
Woody Allen,Jon Lovitz,Michael Rapaport,Woody Allen,Comedy|Crime,small time croo,Woody Allen Jon Lovitz Michael Rapaport Woody Allen Comedy|Crime
Amanda Schull,Susan May Pratt,Ethan Stiefel,Nicholas Hytner,Drama|Music|Romance,center sta,Amanda Schull Susan May Pratt Ethan Stiefel Nicholas Hytner Drama|Music|Romance
Olivia Wilde,Alex Borstein,Timothée Chalamet,Jessie Nelson,Comedy,love the coope,Olivia Wilde Alex Borstein Timothée Chalamet Jessie Nelson Comedy
Kristen Stewart,Corbin Bleu,Kevin G. Schmidt,Bart Freundlich,Comedy|Crime,catch that k,Kristen Stewart Corbin Bleu Kevin G. Schmidt Bart Freundlich Comedy|Crime
Ian Somerhalder,Hayden Christensen,Kristin Scott Thomas,Irwin Winkler,Drama,life as a hou,Ian Somerhalder Hayden Christensen Kristin Scott Thomas Irwin Winkler Drama
Kate Winslet,Michael Fassbender,Michael Stuhlbarg,Danny Boyle,Biography|Drama,steve jo,Kate Winslet Michael Fassbender Michael Stuhlbarg Danny Boyle Biography|Drama
Alan Ruck,Marie Avgeropoulos,Shawn Roberts,Chris Columbus,Comedy|Romance,"i love you, beth coop",Alan Ruck Marie Avgeropoulos Shawn Roberts Chris Columbus Comedy|Romance
Steve Buscemi,Ari Graynor,Fred Willard,Miguel Arteta,Comedy|Drama|Romance,youth in revo,Steve Buscemi Ari Graynor Fred Willard Miguel Arteta Comedy|Drama|Romance
Jason Robards,Richard Farnsworth,Michael Horse,William A. Fraker,Action|Adventure|Western,the legend of the lone rang,Jason Robards Richard Farnsworth Michael Horse William A. Fraker Action|Adventure|Western
Daniel Radcliffe,Jamie Lee Curtis,Mark Margolis,John Boorman,Drama|Thriller,the tailor of pana,Daniel Radcliffe Jamie Lee Curtis Mark Margolis John Boorman Drama|Thriller
Nancy Allen,Dennis Franz,John McMartin,Brian De Palma,Mystery|Thriller,blow o,Nancy Allen Dennis Franz John McMartin Brian De Palma Mystery|Thriller
Rebecca Budig,Paul Freeman,Bruce Payne,Courtney Solomon,Action|Crime|Thriller,getaw,Rebecca Budig Paul Freeman Bruce Payne Courtney Solomon Action|Crime|Thriller
Joan Allen,Kate Burton,Henry Czerny,Ang Lee,Drama,the ice sto,Joan Allen Kate Burton Henry Czerny Ang Lee Drama
Yaya DaCosta,Annie Parisse,Frankie Valli,Rob Reiner,Comedy|Drama|Romance,and so it go,Yaya DaCosta Annie Parisse Frankie Valli Rob Reiner Comedy|Drama|Romance
Craig T. Nelson,Shelley Long,Kellie Martin,Jeff Kanew,Adventure|Comedy,troop beverly hil,Craig T. Nelson Shelley Long Kellie Martin Jeff Kanew Adventure|Comedy
Miriam Margolyes,Shaun Evans,Juliet Stevenson,István Szabó,Comedy|Drama|Romance,being jul,Miriam Margolyes Shaun Evans Juliet Stevenson István Szabó Comedy|Drama|Romance
David Margulies,Karen Young,Kim Chan,Adrian Lyne,Drama|Romance,9½ wee,David Margulies Karen Young Kim Chan Adrian Lyne Drama|Romance
Ian McDiarmid,Ralph Richardson,Albert Salmi,Matthew Robbins,Action|Adventure|Fantasy,dragonslay,Ian McDiarmid Ralph Richardson Albert Salmi Matthew Robbins Action|Adventure|Fantasy
David Masterson,Kerry Condon,Anne-Marie Duff,Michael Hoffman,Biography|Drama|Romance,the last stati,David Masterson Kerry Condon Anne-Marie Duff Michael Hoffman Biography|Drama|Romance
Johnny Depp,Bill Murray,Martin Landau,Tim Burton,Biography|Comedy|Drama,ed wo,Johnny Depp Bill Murray Martin Landau Tim Burton Biography|Comedy|Drama
J.K. Simmons,Kate Winslet,Brooke Smith,Jason Reitman,Drama,labor d,J.K. Simmons Kate Winslet Brooke Smith Jason Reitman Drama
Tadanobu Asano,Khulan Chuluun,Honglei Sun,Sergey Bodrov,Adventure|Biography|Drama|History|War,mongol: the rise of genghis kh,Tadanobu Asano Khulan Chuluun Honglei Sun Sergey Bodrov Adventure|Biography|Drama|History|War
Tom Hardy,Gerard Butler,Tom Wilkinson,Guy Ritchie,Action|Crime|Thriller,rocknrol,Tom Hardy Gerard Butler Tom Wilkinson Guy Ritchie Action|Crime|Thriller
Barry Bostwick,Michael Beck,Henry Silva,Hal Needham,Action|Sci-Fi,megafor,Barry Bostwick Michael Beck Henry Silva Hal Needham Action|Sci-Fi
Julie Christie,Brian Blessed,Richard Briers,Kenneth Branagh,Drama,haml,Julie Christie Brian Blessed Richard Briers Kenneth Branagh Drama
Bruce Greenwood,Suzie Steen,Aden Young,Bruce Beresford,Biography|Drama|Music|Romance,mao's last danc,Bruce Greenwood Suzie Steen Aden Young Bruce Beresford Biography|Drama|Music|Romance
Kirsten Dunst,Sam Shepard,Paul Sparks,Jeff Nichols,Adventure|Drama|Sci-Fi|Thriller,midnight speci,Kirsten Dunst Sam Shepard Paul Sparks Jeff Nichols Adventure|Drama|Sci-Fi|Thriller
Woody Allen,Stockard Channing,Fisher Stevens,Woody Allen,Comedy|Romance,anything el,Woody Allen Stockard Channing Fisher Stevens Woody Allen Comedy|Romance
Jeremy Irvine,Colin Firth,Sam Reid,Jonathan Teplitzky,Biography|Drama|Romance|War,the railway m,Jeremy Irvine Colin Firth Sam Reid Jonathan Teplitzky Biography|Drama|Romance|War
Poppy Montgomery,Dylan Walsh,Dallas Roberts,uknown,Drama|Mystery,unforgettable          ,Poppy Montgomery Dylan Walsh Dallas Roberts uknown Drama|Mystery
Ulrich Tukur,Burghart Klaußner,Leonie Benesch,Michael Haneke,Drama|Mystery,the white ribb,Ulrich Tukur Burghart Klaußner Leonie Benesch Michael Haneke Drama|Mystery
Zack Ward,Anna Harr,James Cullen Bressack,Zack Ward,Horror,restorati,Zack Ward Anna Harr James Cullen Bressack Zack Ward Horror
Clint Howard,Randy Quaid,Nick Cassavetes,Mike Marvin,Action|Horror|Romance|Sci-Fi|Thriller,the wrai,Clint Howard Randy Quaid Nick Cassavetes Mike Marvin Action|Horror|Romance|Sci-Fi|Thriller
Adam Goldberg,Meat Loaf,Anthony LaPaglia,D.J. Caruso,Crime|Drama|Mystery|Thriller,the salton s,Adam Goldberg Meat Loaf Anthony LaPaglia D.J. Caruso Crime|Drama|Mystery|Thriller
James Hetfield,Mackenzie Gray,Lars Ulrich,Nimród Antal,Music,metallica through the nev,James Hetfield Mackenzie Gray Lars Ulrich Nimród Antal Music
Austin Nichols,Brad Renfro,Lou Taylor Pucci,Gregor Jordan,Crime|Drama|Thriller,the informe,Austin Nichols Brad Renfro Lou Taylor Pucci Gregor Jordan Crime|Drama|Thriller
Edgar Ramírez,Nora von Waldstätten,Katharina Schüttler,uknown,Biography|Crime|Drama|Thriller,carlos          ,Edgar Ramírez Nora von Waldstätten Katharina Schüttler uknown Biography|Crime|Drama|Thriller
Takuya Kimura,Simón Andreu,Shawn Yue,Tran Anh Hung,Thriller,i come with the ra,Takuya Kimura Simón Andreu Shawn Yue Tran Anh Hung Thriller
Tom Berenger,Joaquim de Almeida,Mark Moses,Lance Hool,Action|Drama|History|Romance|War|Western,one man's he,Tom Berenger Joaquim de Almeida Mark Moses Lance Hool Action|Drama|History|Romance|War|Western
Greg Nicotero,John Amplas,Joseph Pilato,George A. Romero,Horror,day of the de,Greg Nicotero John Amplas Joseph Pilato George A. Romero Horror
Sam Trammell,Rebecca De Mornay,Amanda Schull,Chuck Russell,Action|Crime|Drama|Thriller,i am wra,Sam Trammell Rebecca De Mornay Amanda Schull Chuck Russell Action|Crime|Drama|Thriller
Romola Garai,Catherine McCormack,Kevork Malikyan,Christian Volckman,Action|Animation|Sci-Fi|Thriller,renaissan,Romola Garai Catherine McCormack Kevork Malikyan Christian Volckman Action|Animation|Sci-Fi|Thriller
Demi Moore,Landon Liboiron,Michael Wincott,Jon Cassar,Drama|Western,forsak,Demi Moore Landon Liboiron Michael Wincott Jon Cassar Drama|Western
Ernie Reyes Jr.,Brigitte Nielsen,Sandahl Bergman,Richard Fleischer,Action|Adventure|Fantasy,red son,Ernie Reyes Jr. Brigitte Nielsen Sandahl Bergman Richard Fleischer Action|Adventure|Fantasy
Robert De Niro,Toby Jones,Craig Roberts,Rodrigo Cortés,Drama|Horror|Mystery|Thriller,red ligh,Robert De Niro Toby Jones Craig Roberts Rodrigo Cortés Drama|Horror|Mystery|Thriller
Emma Stone,Joe Lo Truglio,Kevin Corrigan,Greg Mottola,Comedy,superb,Emma Stone Joe Lo Truglio Kevin Corrigan Greg Mottola Comedy
Vanessa Ferlito,Keshia Knight Pulliam,Derek Luke,Tyler Perry,Comedy|Crime|Drama,madea goes to ja,Vanessa Ferlito Keshia Knight Pulliam Derek Luke Tyler Perry Comedy|Crime|Drama
Jason Momoa,Jennifer Hale,Stephen McHattie,David Hayter,Action|Horror,wolv,Jason Momoa Jennifer Hale Stephen McHattie David Hayter Action|Horror
Cassie Ventura,Mari Koda,Luis Rosado,Jon M. Chu,Drama|Music|Musical|Romance,step up 2: the stree,Cassie Ventura Mari Koda Luis Rosado Jon M. Chu Drama|Music|Musical|Romance
Anne Hathaway,Chazz Palminteri,Jim Belushi,Cory Edwards,Action|Animation|Comedy|Crime|Family,hoodwinke,Anne Hathaway Chazz Palminteri Jim Belushi Cory Edwards Action|Animation|Comedy|Crime|Family
Don Cheadle,Sophie Okonedo,Hakeem Kae-Kazim,Terry George,Drama|History|War,hotel rwan,Don Cheadle Sophie Okonedo Hakeem Kae-Kazim Terry George Drama|History|War
Henry Ian Cusick,Dougray Scott,Ulrich Thomsen,Xavier Gens,Action|Crime|Drama|Thriller,hitm,Henry Ian Cusick Dougray Scott Ulrich Thomsen Xavier Gens Action|Crime|Drama|Thriller
Jennifer Hudson,Mary J. Blige,Vondie Curtis-Hall,Kasi Lemmons,Drama|Family|Music|Musical,black nativi,Jennifer Hudson Mary J. Blige Vondie Curtis-Hall Kasi Lemmons Drama|Family|Music|Musical
Bruce Willis,50 Cent,Jessica Lowndes,Brian A Miller,Action|Thriller,the prin,Bruce Willis 50 Cent Jessica Lowndes Brian A Miller Action|Thriller
Kirk Fox,Shawn Andrews,Rob Campbell,Matt Dillon,Crime|Drama|Thriller,city of ghos,Kirk Fox Shawn Andrews Rob Campbell Matt Dillon Crime|Drama|Thriller
Fionnula Flanagan,Elaine Cassidy,Eric Sykes,Alejandro Amenábar,Fantasy|Horror|Thriller,the othe,Fionnula Flanagan Elaine Cassidy Eric Sykes Alejandro Amenábar Fantasy|Horror|Thriller
Michael Biehn,Carrie Henn,Jenette Goldstein,James Cameron,Action|Adventure|Sci-Fi,alie,Michael Biehn Carrie Henn Jenette Goldstein James Cameron Action|Adventure|Sci-Fi
Jeremy Brett,Rex Harrison,Theodore Bikel,George Cukor,Drama|Family|Musical|Romance,my fair la,Jeremy Brett Rex Harrison Theodore Bikel George Cukor Drama|Family|Musical|Romance
Muse Watson,Sarah Michelle Gellar,Anne Heche,Jim Gillespie,Horror|Mystery|Thriller,i know what you did last summ,Muse Watson Sarah Michelle Gellar Anne Heche Jim Gillespie Horror|Mystery|Thriller
Rob Riggle,Damon Wayans Jr.,James D'Arcy,Luke Greenfield,Comedy,let's be co,Rob Riggle Damon Wayans Jr. James D'Arcy Luke Greenfield Comedy
Virginia Madsen,Patrick Gallagher,M.C. Gainey,Alexander Payne,Adventure|Comedy|Drama|Romance,sidewa,Virginia Madsen Patrick Gallagher M.C. Gainey Alexander Payne Adventure|Comedy|Drama|Romance
Chris Moss,Owain Yeoman,Jay Chandrasekhar,Jay Chandrasekhar,Comedy,beerfe,Chris Moss Owain Yeoman Jay Chandrasekhar Jay Chandrasekhar Comedy
Jamie Lee Curtis,Donald Pleasence,P.J. Soles,John Carpenter,Horror|Thriller,hallowe,Jamie Lee Curtis Donald Pleasence P.J. Soles John Carpenter Horror|Thriller
Jet Li,Tony Chiu Wai Leung,Maggie Cheung,Yimou Zhang,Action|Adventure|History,he,Jet Li Tony Chiu Wai Leung Maggie Cheung Yimou Zhang Action|Adventure|History
Liam Aiken,Molly Shannon,Kevin Nealon,John Hoffman,Comedy|Drama|Family|Fantasy|Sci-Fi,good bo,Liam Aiken Molly Shannon Kevin Nealon John Hoffman Comedy|Drama|Family|Fantasy|Sci-Fi
Harold Perrineau,Sanaa Lathan,Eddie Cibrian,Malcolm D. Lee,Comedy|Drama,the best man holid,Harold Perrineau Sanaa Lathan Eddie Cibrian Malcolm D. Lee Comedy|Drama
Ryan Reynolds,Common,Alex Rocco,Joe Carnahan,Action|Crime|Drama|Thriller,smokin' ac,Ryan Reynolds Common Alex Rocco Joe Carnahan Action|Crime|Drama|Thriller
Costas Mandylor,Gina Holden,Betsy Russell,Kevin Greutert,Horror|Mystery,saw 3d: the final chapt,Costas Mandylor Gina Holden Betsy Russell Kevin Greutert Horror|Mystery
Emmanuelle Vaugier,Vinessa Shaw,Paulo Costanzo,Michael Lehmann,Comedy|Romance,40 days and 40 nigh,Emmanuelle Vaugier Vinessa Shaw Paulo Costanzo Michael Lehmann Comedy|Romance
Jeff Bridges,Olivia Wilde,James Frain,Joseph Kosinski,Action|Adventure|Sci-Fi,tron: lega,Jeff Bridges Olivia Wilde James Frain Joseph Kosinski Action|Adventure|Sci-Fi
Will Ferrell,Chris Kattan,Dan Hedaya,John Fortenberry,Comedy|Music|Romance,a night at the roxbu,Will Ferrell Chris Kattan Dan Hedaya John Fortenberry Comedy|Music|Romance
Alex Pettyfer,Mary-Kate Olsen,Erik Knudsen,Daniel Barnz,Drama|Fantasy|Romance,beast,Alex Pettyfer Mary-Kate Olsen Erik Knudsen Daniel Barnz Drama|Fantasy|Romance
Dan Byrd,Greg Nicotero,Vinessa Shaw,Alexandre Aja,Horror,the hills have ey,Dan Byrd Greg Nicotero Vinessa Shaw Alexandre Aja Horror
Kevin Grevioux,Jenna Boyd,Mary McCormack,Sam Weisman,Comedy,dickie roberts: former child st,Kevin Grevioux Jenna Boyd Mary McCormack Sam Weisman Comedy
Morgan Saylor,Valente Rodriguez,Diana Maria Riva,Niki Caro,Biography|Drama|Sport,"mcfarland, u",Morgan Saylor Valente Rodriguez Diana Maria Riva Niki Caro Biography|Drama|Sport
Brandon T. Jackson,Loretta Devine,Shad Moss,Erik White,Comedy,lottery tick,Brandon T. Jackson Loretta Devine Shad Moss Erik White Comedy
T.I.,Adam Boyer,Malika,Chris Robinson,Comedy|Crime|Drama|Music|Romance,a,T.I. Adam Boyer Malika Chris Robinson Comedy|Crime|Drama|Music|Romance
Anna Kendrick,Hana Mae Lee,Ben Platt,Jason Moore,Comedy|Music|Romance,pitch perfe,Anna Kendrick Hana Mae Lee Ben Platt Jason Moore Comedy|Music|Romance
Marc Blucas,Brian Dennehy,Bruce Davison,Michael Tollin,Comedy|Drama|Romance|Sport,summer cat,Marc Blucas Brian Dennehy Bruce Davison Michael Tollin Comedy|Drama|Romance|Sport
Gary Cole,Bridget Fonda,Chelcie Ross,Sam Raimi,Crime|Drama|Thriller,a simple pl,Gary Cole Bridget Fonda Chelcie Ross Sam Raimi Crime|Drama|Thriller
Alexander Gould,Ethan Embry,Marc Blucas,Robert Harmon,Horror|Mystery|Thriller,th,Alexander Gould Ethan Embry Marc Blucas Robert Harmon Horror|Mystery|Thriller
Thomas F. Wilson,Larry the Cable Guy,Megyn Price,Trent Cooper,Comedy|Romance,larry the cable guy: health inspect,Thomas F. Wilson Larry the Cable Guy Megyn Price Trent Cooper Comedy|Romance
Vanessa Williams,Kevin Clash,Caroll Spinney,Gary Halvorson,Adventure|Comedy|Family|Fantasy|Musical,the adventures of elmo in grouchla,Vanessa Williams Kevin Clash Caroll Spinney Gary Halvorson Adventure|Comedy|Family|Fantasy|Musical
Don Cheadle,Lili Taylor,Armando Riesco,Antoine Fuqua,Crime|Drama|Thriller,brooklyn's fine,Don Cheadle Lili Taylor Armando Riesco Antoine Fuqua Crime|Drama|Thriller
Ava Gardner,David Niven,John Ireland,Nicholas Ray,Action|Adventure|Drama|History|War,55 days at peki,Ava Gardner David Niven John Ireland Nicholas Ray Action|Adventure|Drama|History|War
Lou Taylor Pucci,Elizabeth Blackmore,Ellen Sandweiss,Fede Alvarez,Horror,evil de,Lou Taylor Pucci Elizabeth Blackmore Ellen Sandweiss Fede Alvarez Horror
Nia Vardalos,Harland Williams,Rachel Dratch,Donald Petrie,Comedy|Romance,my life in rui,Nia Vardalos Harland Williams Rachel Dratch Donald Petrie Comedy|Romance
Judy Greer,Dennis Quaid,Chris Klein,Paul Weitz,Comedy|Music,american drea,Judy Greer Dennis Quaid Chris Klein Paul Weitz Comedy|Music
Jim Broadbent,Margot Kidder,William Hootkins,Sidney J. Furie,Action|Adventure|Family|Sci-Fi,superman iv: the quest for pea,Jim Broadbent Margot Kidder William Hootkins Sidney J. Furie Action|Adventure|Family|Sci-Fi
DeRay Davis,Clé Bennett,Conrad Coates,Ian Iqbal Rashid,Drama,how she mo,DeRay Davis Clé Bennett Conrad Coates Ian Iqbal Rashid Drama
Paul Walker,Chazz Palminteri,Ivana Milicevic,Wayne Kramer,Action|Crime|Drama|Thriller,running scar,Paul Walker Chazz Palminteri Ivana Milicevic Wayne Kramer Action|Crime|Drama|Thriller
Aidan Quinn,Jeremy Northam,Paul Freeman,Rowdy Herrington,Biography|Drama|Romance|Sport,bobby jones: stroke of geni,Aidan Quinn Jeremy Northam Paul Freeman Rowdy Herrington Biography|Drama|Romance|Sport
Victor Wong,Paul Freeman,Clyde Kusatsu,Jim Goddard,Adventure|Crime|Drama|Romance,shanghai surpri,Victor Wong Paul Freeman Clyde Kusatsu Jim Goddard Adventure|Crime|Drama|Romance
Rufus Sewell,Eddie Marsan,Jake Wood,Neil Burger,Drama|Mystery|Romance|Thriller,the illusioni,Rufus Sewell Eddie Marsan Jake Wood Neil Burger Drama|Mystery|Romance|Thriller
Tippi Hedren,Melanie Griffith,Zakes Mokae,Noel Marshall,Adventure|Horror|Thriller,ro,Tippi Hedren Melanie Griffith Zakes Mokae Noel Marshall Adventure|Horror|Thriller
Brenda Fricker,David Murray,Gerard McSorley,Joel Schumacher,Biography|Crime|Drama|Thriller,veronica guer,Brenda Fricker David Murray Gerard McSorley Joel Schumacher Biography|Crime|Drama|Thriller
Josh Hutcherson,Brady Corbet,Carlos Bardem,Andrea Di Stefano,Crime|Drama|Romance|Thriller,escobar: paradise lo,Josh Hutcherson Brady Corbet Carlos Bardem Andrea Di Stefano Crime|Drama|Romance|Thriller
Janeane Garofalo,Curtis Armstrong,Chris Andrew Ciulla,Richard Kelly,Comedy|Mystery|Sci-Fi|Thriller,southland tal,Janeane Garofalo Curtis Armstrong Chris Andrew Ciulla Richard Kelly Comedy|Mystery|Sci-Fi|Thriller
Rob Paulsen,Jess Harnell,Mary Mouser,Guillaume Ivernel,Adventure|Animation|Family|Fantasy,dragon hunte,Rob Paulsen Jess Harnell Mary Mouser Guillaume Ivernel Adventure|Animation|Family|Fantasy
